gene	n_hits
ADTRP	1
AEBP1	21
AEBP2	8
AEN	9
AFAP1	98
AFAP1L1	4
AFAP1L2	5
AFDN	3
AFF1	11
AFF2	3
AFF3	12
AFF4	13
AFG1L	0
AFG3L2	1
AFM	600
AFMID	3
AFP	600
AFTPH	1
AGA	239
AGAP1	2
AGAP2	38
AGAP3	3
AGAP4	0
AGAP5	0
AGAP6	0
AGAP9	0
AGBL1	2
AGBL2	7
AGBL3	0
AGBL4	1
AGBL5	0
AGER	39
AGFG1	2
AGFG2	0
AGGF1	14
AGK	26
AGL	30
AGMAT	2
AGMO	2
AGO1	41
AGO2	268
AGO3	6
AGO4	9
AGPAT1	7
AGPAT2	8
AGPAT3	3
AGPAT4	5
AGPAT5	2
AGPS	19
AGR2	213
AGR3	25
AGRN	13
AGRP	25
AGT	212
AGTPBP1	1
AGTR1	64
AGTR2	13
AGTRAP	1
AGXT	10
AGXT2	0
AHCTF1	3
AHCY	24
AHCYL1	5
AHCYL2	0
AHDC1	3
AHI1	3
AHNAK	56
AHNAK2	17
AHR	600
AHRR	72
AHSA1	5
AHSG	37
AHSP	1
AICDA	17
AIDA	13
AIF1	16
AIF1L	2
AIFM1	16
AIFM2	10
AIFM3	4
AIG1	2
AIM2	103
AIMP1	13
AIMP2	26
AIP	402
AIPL1	0
AIRE	33
AJAP1	18
AJM1	0
AJUBA	44
AK1	13
AK2	9
AK3	9
AK4	16
AK5	3
AK6	2
AK7	4
AK8	0
AK9	2
AKAIN1	0
AKAP1	6
AKAP3	6
AKAP4	22
AKAP5	3
AKAP6	6
AKAP7	3
AKAP8	6
AKAP8L	1
AKAP9	30
AKAP10	6
AKAP11	0
AKAP12	72
AKAP13	25
AKAP14	1
AKAP17A	0
AKIP1	16
AKIRIN1	1
AKIRIN2	3
AKNA	7
AKNAD1	0
AKR1A1	21
AKR1B1	71
AKR1B10	162
AKR1B15	2
AKR1C1	121
AKR1C2	105
AKR1C3	260
AKR1C4	30
AKR1D1	6
AKR1E2	1
AKR7A2	9
AKR7A3	6
AKR7L	0
AKT1	600
AKT1S1	18
AKT2	581
AKT3	314
AKTIP	4
ALAD	20
ALAS1	17
ALAS2	6
ALB	515
ALCAM	158
ALDH1A1	460
ALDH1A2	47
ALDH1A3	152
ALDH1B1	30
ALDH1L1	37
ALDH1L2	11
ALDH2	393
ALDH3A1	88
ALDH3A2	9
ALDH3B1	5
ALDH3B2	10
ALDH4A1	8
ALDH5A1	8
ALDH6A1	13
ALDH7A1	21
ALDH8A1	6
ALDH9A1	4
ALDH16A1	0
ALDH18A1	12
ALDOA	75
ALDOB	20
ALDOC	20
ALG1	1
ALG1L	2
ALG1L2	1
ALG2	1
ALG3	7
ALG5	3
ALG6	1
ALG8	2
ALG9	1
ALG10	1
ALG10B	1
ALG11	0
ALG12	1
ALG13	4
ALG14	0
ALK	600
ALKAL1	1
ALKAL2	1
ALKBH1	14
ALKBH2	19
ALKBH3	33
ALKBH4	5
ALKBH5	101
ALKBH6	1
ALKBH7	5
ALKBH8	5
ALLC	1
ALMS1	7
ALOX5	43
ALOX5AP	21
ALOX12	28
ALOX12B	6
ALOX15	33
ALOX15B	10
ALOXE3	6
ALPG	0
ALPI	14
ALPK1	7
ALPK2	7
ALPK3	1
ALPL	23
ALPP	16
ALS2	1
ALS2CL	1
ALX1	15
ALX3	4
ALX4	34
ALYREF	10
AMACR	342
AMBN	2
AMBP	19
AMBRA1	49
AMD1	15
AMDHD1	4
AMDHD2	0
AMELX	4
AMELY	3
AMER1	20
AMER2	3
AMER3	5
AMFR	43
AMH	357
AMHR2	30
AMIGO1	1
AMIGO2	10
AMIGO3	0
AMMECR1	4
AMMECR1L	0
AMN	26
AMN1	3
AMOT	43
AMOTL1	15
AMOTL2	12
AMPD1	6
AMPD2	6
AMPD3	5
AMPH	18
AMT	76
AMTN	2
AMY1A	5
AMY1B	0
AMY1C	0
AMY2A	5
AMY2B	3
AMZ1	0
AMZ2	1
ANAPC1	10
ANAPC2	3
ANAPC4	4
ANAPC5	1
ANAPC7	4
ANAPC10	0
ANAPC11	2
ANAPC13	4
ANAPC15	0
ANAPC16	0
ANG	600
ANGEL1	1
ANGEL2	0
ANGPT1	38
ANGPT2	77
ANGPT4	7
ANGPTL1	19
ANGPTL2	51
ANGPTL3	16
