gene	n_hits
BUD31	6
BVES	16
BYSL	7
BZW1	6
BZW2	6
C1D	6
C1GALT1	25
C1GALT1C1	4
C1GALT1C1L	0
C1orf21	0
C1orf35	2
C1orf43	1
C1orf50	0
C1orf52	0
C1orf53	0
C1orf54	0
C1orf56	0
C1orf68	1
C1orf74	0
C1orf87	0
C1orf94	0
C1orf100	1
C1orf105	0
C1orf109	3
C1orf112	5
C1orf115	2
C1orf116	1
C1orf122	1
C1orf127	0
C1orf131	0
C1orf141	0
C1orf146	0
C1orf158	0
C1orf159	0
C1orf162	0
C1orf167	0
C1orf174	0
C1orf185	0
C1orf189	0
C1orf194	1
C1orf198	2
C1orf210	0
C1orf216	0
C1orf226	1
C1orf232	0
C1QA	14
C1QB	10
C1QBP	31
C1QC	4
C1QL1	3
C1QL2	1
C1QL3	1
C1QL4	0
C1QTNF1	4
C1QTNF2	0
C1QTNF3	3
C1QTNF4	0
C1QTNF5	0
C1QTNF6	8
C1QTNF7	0
C1QTNF8	0
C1QTNF9	0
C1QTNF9B	1
C1QTNF12	0
C1R	44
C1RL	3
C1S	31
C2	600
C2CD2	2
C2CD2L	0
C2CD3	1
C2CD4A	1
C2CD4B	1
C2CD4C	0
C2CD4D	0
C2CD5	0
C2CD6	0
C2orf15	0
C2orf16	1
C2orf42	0
C2orf49	0
C2orf50	0
C2orf66	1
C2orf68	2
C2orf69	0
C2orf72	1
C2orf73	0
C2orf74	0
C2orf76	0
C2orf78	0
C2orf80	0
C2orf81	0
C2orf83	0
C2orf88	0
C2orf92	0
C3	600
C3AR1	15
C3orf14	2
C3orf18	0
C3orf20	0
C3orf22	0
C3orf33	0
C3orf35	3
C3orf38	1
C3orf49	0
C3orf52	2
C3orf56	0
C3orf62	1
C3orf70	1
C3orf80	0
C3orf84	0
C3orf85	0
C4A	32
C4B	50
C4BPA	7
C4BPB	1
C4orf3	0
C4orf17	0
C4orf19	1
C4orf33	0
C4orf36	0
C4orf45	0
C4orf46	1
C4orf47	0
C4orf48	0
C4orf50	0
C4orf51	0
C4orf54	0
C5	587
C5AR1	19
C5AR2	2
C5orf15	0
C5orf22	2
C5orf24	0
C5orf34	0
C5orf38	1
C5orf46	1
C5orf47	0
C5orf49	0
C5orf51	0
C5orf52	0
C5orf58	0
C5orf60	0
C5orf63	1
C6	600
C6orf15	0
C6orf47	0
C6orf52	0
C6orf58	0
C6orf62	2
C6orf89	1
C6orf118	0
C6orf120	1
C6orf132	0
C6orf136	2
C6orf141	2
C6orf163	0
C6orf201	0
C6orf223	1
C6orf226	0
C7	307
C7orf25	0
C7orf26	0
C7orf31	1
C7orf33	0
C7orf50	0
C7orf57	1
C7orf61	0
C7orf77	0
C8A	5
C8B	3
C8G	0
C8orf33	3
C8orf34	3
C8orf48	1
C8orf58	1
C8orf74	0
C8orf76	1
C8orf82	0
C8orf86	0
C8orf88	0
C8orf89	0
C9	211
C9orf24	2
C9orf40	1
C9orf43	0
C9orf47	0
C9orf50	5
C9orf57	0
C9orf64	2
C9orf72	9
C9orf78	1
C9orf85	0
C9orf92	0
C9orf116	0
C9orf129	0
C9orf131	0
C9orf135	2
C9orf152	3
C9orf153	0
C10orf53	1
C10orf62	0
C10orf67	0
C10orf71	1
C10orf82	1
C10orf88	4
C10orf90	2
C10orf95	0
C10orf99	2
C10orf105	0
C10orf120	0
C10orf126	0
C10orf143	0
C11orf1	0
C11orf16	0
C11orf21	0
C11orf24	0
C11orf42	1
C11orf45	1
C11orf49	0
C11orf52	0
C11orf53	3
C11orf54	1
C11orf58	0
C11orf65	3
C11orf68	1
C11orf71	0
C11orf80	0
C11orf86	1
C11orf87	1
C11orf91	0
C11orf94	0
C11orf96	1
C11orf97	0
C11orf98	0
C12orf4	0
C12orf29	2
C12orf40	1
C12orf42	2
C12orf43	0
C12orf50	0
C12orf54	1
C12orf56	0
C12orf57	0
C12orf60	0
C12orf71	0
C12orf73	0
C12orf75	0
C12orf76	0
C13orf42	0
C13orf46	0
C14orf28	1
C14orf39	0
C14orf93	2
C14orf119	0
C14orf132	2
C14orf178	0
C14orf180	0
C15orf39	0
C15orf40	0
C15orf48	3
C15orf61	0
C15orf62	0
C15orf65	0
C16orf46	1
C16orf54	0
C16orf72	1
C16orf74	6
C16orf78	0
C16orf82	0
C16orf86	0
C16orf87	0
C16orf89	0
C16orf90	0
C16orf91	0
C16orf92	0
C16orf95	0
C16orf96	1
C17orf49	0
C17orf50	0
C17orf58	0
C17orf64	1
C17orf67	0
C17orf75	1
C17orf78	0
C17orf80	0
C17orf97	0
C17orf98	0
C17orf99	0
C17orf100	0
C17orf107	0
C17orf113	0
C17orf114	0
C18orf21	0
C18orf25	0
C18orf32	1
C18orf54	0
C18orf63	0
C19orf12	2
C19orf18	0
C19orf25	0
C19orf33	3
C19orf38	0
C19orf44	0
C19orf47	0
C19orf48	2
C19orf53	1
C19orf54	0
C19orf67	0
C19orf71	0
C19orf73	0
C19orf81	0
C19orf84	0
C19orf85	0
C20orf27	1
C20orf85	2
C20orf96	0
C20orf141	1
C20orf144	0
C20orf173	0
C20orf202	0
C20orf203	0
C20orf204	1
C21orf58	2
C21orf62	2
C21orf91	2
C22orf15	0
C22orf23	0
C22orf31	0
C22orf39	1
C22orf42	1
CA1	104
CA2	600
CA3	50
CA4	94
CA5A	1
CA5B	4
CA6	12
CA7	9
CA8	7
CA9	414
CA10	19
CA11	17
CA12	69
CA13	6
CA14	4
CAAP1	4
CAB39	17
CAB39L	4
CABCOCO1	0
CABIN1	6
CABLES1	6
CABLES2	4
CABP1	2
CABP2	0
CABP4	1
CABP5	0
CABP7	0
CABS1	0
CABYR	13
CACFD1	0
CACHD1	1
CACNA1A	12
CACNA1B	5
CACNA1C	12
CACNA1D	21
CACNA1E	8
CACNA1F	2
CACNA1G	79
CACNA1H	12
CACNA1I	2
CACNA1S	3
CACNA2D1	11
CACNA2D2	21
CACNA2D3	15
CACNA2D4	3
CACNB1	3
CACNB2	6
CACNB3	1
CACNB4	4
CACNG1	1
CACNG2	2
CACNG3	2
CACNG4	4
CACNG5	0
CACNG6	0
CACNG7	2
CACNG8	0
CACTIN	0
CACUL1	4
CACYBP	42
CAD	600
CADM1	109
CADM2	17
CADM3	3
CADM4	7
CADPS	1
CADPS2	1
CAGE1	1
CALB1	12
CALB2	8
CALCA	42
CALCB	4
CALCOCO1	4
CALCOCO2	6
CALCR	13
CALCRL	5
CALD1	21
CALHM1	1
CALHM2	1
CALHM3	0
CALHM4	0
CALHM5	0
CALHM6	0
CALM1	21
CALM2	12
CALM3	7
CALML3	11
CALML4	1
CALML5	6
CALML6	1
CALN1	5
CALR	104
CALR3	2
CALU	438
CALY	3
CAMK1	8
CAMK1D	7
CAMK1G	1
CAMK2A	9
CAMK2B	6
CAMK2D	9
CAMK2G	3
CAMK2N1	15
CAMK2N2	1
CAMK4	6
CAMKK1	5
CAMKK2	57
CAMKMT	0
CAMKV	1
CAMLG	0
CAMP	600
CAMSAP1	5
CAMSAP2	2
CAMSAP3	3
CAMTA1	16
CAMTA2	2
CAND1	20
CAND2	4
CANT1	7
CANX	12
CAP1	50
CAP2	12
CAPG	51
CAPN1	15
CAPN2	27
CAPN3	3
CAPN5	7
CAPN6	4
CAPN7	2
CAPN8	5
CAPN9	2
CAPN10	12
CAPN11	1
CAPN12	3
CAPN13	3
CAPN14	0
CAPN15	0
CAPNS1	10
CAPNS2	0
CAPRIN1	9
CAPRIN2	2
CAPS	314
CAPS2	4
CAPSL	0
CAPZA1	13
CAPZA2	6
CAPZA3	0
CAPZB	3
CARD6	6
CARD8	17
CARD9	25
CARD10	12
CARD11	38
CARD14	2
CARD16	4
CARD17	0
CARD18	2
CARD19	0
CARF	25
CARHSP1	0
CARM1	92
CARMIL1	2
CARMIL2	1
CARMIL3	2
CARNMT1	1
CARNS1	2
CARS1	2
CARS2	1
CARTPT	3
CASC3	7
CASD1	2
CASK	15
CASKIN1	1
CASKIN2	0
CASP1	67
CASP2	28
CASP3	301
CASP4	27
CASP5	19
CASP6	24
CASP7	67
CASP8	348
CASP8AP2	11
CASP9	122
CASP10	36
CASP12	7
CASP14	13
CASQ1	4
CASQ2	5
CASR	179
CASS4	9
CAST	572
CASTOR1	4
CASTOR2	1
CASTOR3	0
CASZ1	11
CAT	600
CATIP	1
CATSPER1	0
CATSPER2	1
CATSPER3	0
CATSPER4	0
CATSPERB	2
CATSPERD	0
CATSPERE	0
CATSPERG	0
CATSPERZ	0
CAV1	333
CAV2	42
CAV3	39
CAVIN1	12
CAVIN2	3
CAVIN3	3
CAVIN4	0
CBARP	0
CBFA2T2	4
CBFA2T3	21
CBFB	45
CBL	419
CBLB	22
CBLC	13
CBLIF	0
CBLL1	5
CBLL2	0
CBLN1	2
CBLN2	2
CBLN3	2
CBLN4	5
CBR1	63
CBR3	40
CBR4	2
CBS	387
CBSL	0
CBWD1	0
CBWD2	0
CBWD3	0
CBWD5	0
CBWD6	0
CBX1	18
CBX2	46
CBX3	32
CBX4	36
CBX5	16
CBX6	14
CBX7	72
CBX8	33
CBY1	3
CBY2	0
CBY3	0
CC2D1A	3
CC2D1B	1
CC2D2A	0
CC2D2B	0
CCAR1	30
CCAR2	20
CCBE1	16
CCDC3	3
CCDC6	87
CCDC7	2
CCDC8	7
CCDC9	0
CCDC9B	0
CCDC12	5
CCDC13	0
CCDC14	1
CCDC15	1
CCDC17	0
CCDC18	1
CCDC22	1
CCDC24	0
CCDC25	3
CCDC27	0
CCDC28A	1
CCDC28B	1
CCDC30	2
CCDC32	1
CCDC33	2
CCDC34	6
CCDC38	0
CCDC39	1
CCDC40	2
CCDC42	1
CCDC43	2
CCDC47	1
CCDC50	4
CCDC51	0
CCDC54	0
CCDC57	1
CCDC59	0
CCDC60	0
CCDC61	0
CCDC62	2
CCDC63	0
CCDC65	0
CCDC66	11
CCDC68	4
CCDC69	7
CCDC70	0
CCDC71	0
CCDC71L	1
CCDC73	1
CCDC74A	0
CCDC74B	0
CCDC77	0
CCDC78	1
CCDC80	13
CCDC81	1
CCDC82	0
CCDC83	1
CCDC85A	3
CCDC85B	3
CCDC85C	1
CCDC86	1
CCDC87	0
CCDC88A	11
CCDC88B	0
CCDC88C	3
CCDC89	0
CCDC90B	0
CCDC91	2
CCDC92	0
CCDC93	0
CCDC96	1
CCDC97	0
CCDC102A	0
CCDC102B	0
CCDC103	0
CCDC105	0
CCDC106	3
CCDC107	0
CCDC110	1
CCDC112	1
CCDC113	0
CCDC115	1
CCDC116	2
CCDC117	0
CCDC120	0
CCDC121	1
CCDC122	0
CCDC124	2
CCDC125	1
CCDC126	0
CCDC127	1
CCDC134	2
CCDC136	2
CCDC137	1
CCDC138	0
CCDC141	1
CCDC142	0
CCDC144A	0
CCDC146	1
CCDC148	1
CCDC149	0
CCDC150	0
CCDC152	1
CCDC153	0
CCDC154	0
CCDC157	0
CCDC158	0
CCDC159	0
CCDC160	0
CCDC163	0
CCDC166	0
CCDC167	1
CCDC168	2
CCDC169	1
CCDC170	19
CCDC171	1
CCDC172	0
CCDC173	0
CCDC174	0
CCDC175	0
CCDC177	1
CCDC178	3
CCDC179	0
CCDC180	2
CCDC181	8
CCDC182	0
CCDC183	2
CCDC184	0
CCDC185	0
CCDC186	1
CCDC187	0
CCDC188	0
CCDC189	0
CCDC190	0
CCDC191	0
CCDC192	0
CCDC194	0
CCDC195	0
CCDC196	0
CCDC197	0
CCDC198	0
CCDC200	0
CCDC201	0
CCER1	0
CCER2	0
CCHCR1	7
CCIN	4
CCK	600
CCKAR	11
CCKBR	26
CCL1	37
CCL2	600
CCL3	179
CCL3L3	1
CCL4	392
CCL4L2	0
CCL5	570
CCL7	72
CCL8	58
CCL11	56
CCL13	14
CCL14	21
CCL15	27
CCL16	13
CCL17	103
CCL18	126
CCL19	156
CCL20	267
CCL21	238
CCL22	174
CCL23	19
CCL24	20
CCL25	46
CCL26	24
CCL27	36
CCL28	34
CCM2	5
CCM2L	0
CCN1	99
CCN2	97
CCN3	55
CCN4	24
CCN5	28
CCN6	32
CCNA1	77
CCNA2	179
CCNB1	332
CCNB1IP1	8
CCNB2	149
CCNB3	5
CCNC	17
CCND1	600
CCND2	250
CCND3	78
CCNDBP1	6
CCNE1	353
CCNE2	105
CCNF	15
CCNG1	40
CCNG2	50
CCNH	38
CCNI	5
CCNI2	3
CCNJ	7
CCNJL	0
CCNK	3
CCNL1	8
CCNL2	6
CCNO	6
CCNP	5
CCNQ	0
CCNT1	3
CCNT2	4
CCNY	14
CCNYL1	0
CCP110	0
CCPG1	5
CCR1	103
CCR2	429
CCR3	64
CCR4	233
CCR5	423
CCR6	178
CCR7	548
CCR8	33
CCR9	59
CCR10	30
CCRL2	19
CCS	600
CCSAP	1
CCSER1	1
CCSER2	2
CCT2	21
CCT3	29
CCT4	12
CCT5	14
CCT6A	15
CCT6B	6
CCT7	9
CCT8	10
CCT8L2	0
CCZ1	0
CCZ1B	0
CD1A	285
CD1B	18
CD1C	66
CD1D	304
CD1E	3
CD2	226
CD2AP	17
CD2BP2	2
CD3D	24
CD3E	30
CD3G	10
CD4	600
CD5	260
CD5L	15
CD6	25
CD7	74
CD8A	115
CD8B	11
CD8B2	0
CD9	359
CD14	600
CD19	600
CD22	172
CD24	600
CD27	312
CD28	600
CD33	371
CD34	600
CD36	261
CD37	21
CD38	468
CD40	600
CD40LG	17
CD44	600
CD46	174
CD47	506
CD48	27
CD52	65
CD53	13
CD55	145
CD58	47
CD59	169
CD63	379
CD68	600
CD69	444
CD70	111
CD72	9
CD74	226
CD79A	74
CD79B	31
CD80	600
CD81	174
CD82	164
CD83	466
CD84	6
CD86	600
CD93	13
CD96	47
CD99	104
CD99L2	1
CD101	6
CD109	52
CD151	141
CD160	27
CD163	600
CD163L1	4
CD164	21
CD164L2	1
CD177	26
CD180	5
CD200	97
CD200R1	18
CD200R1L	0
CD207	22
CD209	36
CD226	75
CD244	25
CD247	19
CD248	30
CD274	310
CD276	79
CD300A	7
CD300C	0
CD300E	1
CD300H	0
CD300LB	1
CD300LD	0
CD300LF	1
CD300LG	4
CD302	2
CD320	10
CDA	203
CDADC1	1
CDAN1	1
CDC5L	17
CDC6	174
CDC7	87
CDC14A	13
CDC14B	7
CDC14C	1
CDC16	14
CDC20	333
CDC20B	5
CDC23	10
CDC25A	431
CDC25B	210
CDC25C	596
CDC26	0
CDC27	42
CDC34	17
CDC37	117
CDC37L1	4
CDC40	2
CDC42	600
CDC42BPA	8
CDC42BPB	5
CDC42BPG	0
CDC42EP1	3
CDC42EP2	0
CDC42EP3	7
CDC42EP4	0
CDC42EP5	2
CDC42SE1	2
CDC42SE2	2
CDC45	74
CDC73	56
CDC123	2
CDCA2	14
CDCA3	21
CDCA4	12
CDCA5	43
CDCA7	15
CDCA7L	7
CDCA8	56
CDCP1	109
CDCP2	1
CDH1	600
CDH2	167
CDH3	68
CDH4	20
CDH5	51
CDH6	19
CDH7	3
CDH8	8
CDH9	5
CDH10	9
CDH11	79
CDH12	5
CDH13	188
CDH15	6
CDH16	4
CDH17	73
CDH18	8
CDH19	8
CDH20	2
CDH22	8
CDH23	5
CDH24	0
CDH26	0
CDHR1	1
CDHR2	2
CDHR3	1
CDHR4	0
CDHR5	5
CDIN1	0
CDIP1	2
CDIPT	1
CDK1	600
CDK2	600
CDK2AP1	18
CDK2AP2	2
CDK3	33
CDK4	600
CDK5	240
CDK5R1	8
CDK5R2	4
CDK5RAP1	7
CDK5RAP2	5
CDK5RAP3	12
CDK6	600
CDK7	249
CDK8	163
CDK9	256
CDK10	27
CDK11A	2
CDK11B	2
CDK12	158
CDK13	20
CDK14	28
CDK15	5
CDK16	14
CDK17	2
CDK18	7
CDK19	35
CDK20	6
CDKAL1	13
CDKL1	7
CDKL2	11
CDKL3	2
CDKL4	1
CDKL5	4
CDKN1A	600
CDKN1B	260
CDKN1C	86
CDKN2A	600
CDKN2AIP	5
CDKN2AIPNL	1
CDKN2B	311
CDKN2C	51
CDKN2D	32
CDKN3	75
CDNF	1
CDO1	58
CDON	11
CDPF1	0
CDR1	38
CDR2	49
CDR2L	8
CDRT1	0
CDRT4	0
CDRT15	0
CDRT15L2	0
CDS1	23
CDS2	9
CDSN	2
CDT1	87
CDV3	3
CDX1	87
CDX2	600
CDX4	4
CDY1	4
CDY1B	0
CDY2A	0
CDY2B	0
CDYL	9
CDYL2	6
CEACAM1	180
CEACAM3	9
CEACAM4	3
CEACAM5	135
CEACAM6	121
CEACAM7	13
CEACAM8	8
CEACAM16	0
CEACAM18	0
CEACAM19	6
CEACAM20	3
CEACAM21	4
CEBPA	123
CEBPB	69
CEBPD	37
CEBPE	10
CEBPG	9
CEBPZ	3
CEBPZOS	0
CECR2	2
CEL	145
CELA1	3
CELA2A	0
CELA2B	0
CELA3A	0
CELA3B	2
CELF1	18
CELF2	20
CELF3	1
CELF4	6
CELF5	1
CELF6	3
CELSR1	12
CELSR2	13
CELSR3	15
CEMIP	30
CEMIP2	0
CEMP1	1
CENATAC	0
CEND1	0
CENPA	44
CENPB	5
CENPBD1	1
CENPC	4
CENPE	41
CENPF	88
CENPH	11
CENPI	6
CENPJ	4
CENPK	6
CENPL	1
CENPM	11
CENPN	5
CENPO	4
CENPP	0
CENPQ	0
CENPS	6
CENPT	0
CENPU	12
CENPV	1
CENPVL1	0
CENPVL2	0
CENPVL3	0
CENPW	2
CENPX	1
CEP19	1
CEP20	0
CEP41	0
CEP43	0
CEP44	1
CEP55	93
CEP57	7
CEP57L1	0
CEP63	6
CEP68	1
CEP70	4
CEP72	14
CEP76	4
CEP78	4
CEP83	1
CEP85	2
CEP85L	5
CEP89	0
CEP95	0
CEP97	3
CEP104	1
CEP112	1
CEP120	0
CEP126	0
CEP128	4
CEP131	7
CEP135	4
CEP152	7
CEP162	0
CEP164	7
CEP170	3
CEP170B	0
CEP192	6
CEP250	3
CEP290	4
CEP295	0
CEP295NL	0
CEP350	4
CEPT1	2
CER1	9
CERCAM	0
CERK	20
CERKL	0
CERS1	17
CERS2	21
CERS3	2
CERS4	12
CERS5	9
CERS6	34
CERT1	1
CES1	31
CES2	50
CES3	6
CES4A	0
CES5A	1
CETN1	5
CETN2	7
CETN3	5
CETP	26
CFAP20	0
CFAP20DC	0
CFAP36	0
CFAP43	0
CFAP44	0
CFAP45	0
CFAP46	1
CFAP47	0
CFAP52	0
CFAP53	0
CFAP54	0
CFAP57	0
CFAP58	1
CFAP61	0
CFAP65	1
CFAP69	0
CFAP70	0
CFAP73	0
CFAP74	1
CFAP77	0
CFAP91	0
CFAP92	0
CFAP97	0
CFAP97D1	0
CFAP97D2	0
CFAP99	1
CFAP100	0
CFAP126	0
CFAP157	0
CFAP161	0
CFAP206	0
CFAP221	0
CFAP251	0
CFAP298	0
CFAP299	0
CFAP300	0
CFAP410	0
CFAP418	1
CFB	28
CFC1	3
CFC1B	0
CFD	91
CFDP1	4
CFH	44
CFHR1	7
CFHR2	0
CFHR3	5
CFHR4	0
CFHR5	1
CFI	230
CFL1	47
CFL2	9
CFLAR	51
CFP	81
CFTR	229
CGA	600
CGAS	283
CGB1	5
CGB2	5
CGB3	3
CGB5	12
CGB7	2
CGB8	3
CGGBP1	11
CGN	44
CGNL1	6
CGREF1	2
CGRRF1	5
CH25H	14
CHAC1	22
CHAC2	4
CHAD	23
CHADL	0
CHAF1A	21
CHAF1B	13
CHAMP1	0
CHAT	125
CHCHD1	1
CHCHD2	10
CHCHD3	5
CHCHD4	7
CHCHD5	1
CHCHD6	2
CHCHD7	2
CHCHD10	2
CHD1	77
CHD1L	32
CHD2	10
CHD3	12
CHD4	60
CHD5	40
CHD6	6
CHD7	18
CHD8	27
CHD9	7
CHDH	8
CHEK1	155
CHEK2	600
CHERP	2
CHFR	157
CHGA	42
CHGB	9
CHI3L1	124
CHI3L2	8
CHIA	61
CHIC1	0
CHIC2	2
CHID1	3
CHIT1	7
CHKA	32
CHKB	4
CHL1	43
CHM	151
CHML	5
CHMP1A	4
CHMP1B	1
CHMP2A	1
CHMP2B	4
CHMP3	1
CHMP4A	3
CHMP4B	2
CHMP4C	13
CHMP5	2
CHMP6	2
CHMP7	2
CHN1	6
CHN2	8
CHODL	5
CHORDC1	3
CHP1	4
CHP2	9
CHPF	10
CHPF2	0
CHPT1	5
CHRAC1	2
CHRD	1
CHRDL1	14
CHRDL2	1
CHRFAM7A	3
CHRM1	10
CHRM2	6
CHRM3	20
CHRM4	3
CHRM5	1
CHRNA1	2
CHRNA2	5
CHRNA3	100
CHRNA4	8
CHRNA5	127
CHRNA6	9
CHRNA7	14
CHRNA9	5
CHRNA10	1
CHRNB1	3
CHRNB2	2
CHRNB3	10
CHRNB4	47
CHRND	1
CHRNE	2
CHRNG	2
CHST1	8
CHST2	5
CHST3	6
CHST4	6
CHST5	3
CHST6	6
CHST7	6
CHST8	0
CHST9	2
CHST10	3
CHST11	13
CHST12	3
CHST13	1
CHST14	2
CHST15	12
CHSY1	6
CHSY3	3
CHTF8	0
CHTF18	1
CHTOP	5
CHUK	29
CHURC1	2
CIAO1	2
CIAO2A	0
CIAO2B	0
CIAO3	0
CIAPIN1	29
CIART	1
CIB1	24
CIB2	2
CIB3	0
CIB4	0
CIBAR1	0
CIBAR2	0
CIC	394
CIDEA	16
CIDEB	8
CIDEC	8
CIITA	94
CILK1	0
CILP	1
CILP2	3
CINP	14
CIP2A	219
CIPC	8
CIR1	4
CIRBP	17
CISD1	14
CISD2	25
CISD3	4
CISH	304
CIT	269
CITED1	27
CITED2	53
CITED4	9
CIZ1	24
CKAP2	19
CKAP2L	10
CKAP4	23
CKAP5	17
CKB	49
CKLF	46
CKM	19
CKMT1A	1
CKMT1B	3
CKMT2	3
CKS1B	33
CKS2	60
CLASP1	6
CLASP2	5
CLASRP	2
CLBA1	0
CLC	128
CLCA1	17
CLCA2	31
CLCA4	14
CLCC1	3
CLCF1	7
CLCN1	1
CLCN2	5
CLCN3	5
CLCN4	2
CLCN5	3
CLCN6	0
CLCN7	1
CLCNKA	1
CLCNKB	3
CLDN1	118
CLDN2	25
CLDN3	77
CLDN4	85
CLDN5	28
CLDN6	31
CLDN7	46
CLDN8	15
CLDN9	9
CLDN10	19
CLDN11	24
CLDN12	11
CLDN14	2
CLDN15	4
CLDN16	7
CLDN17	3
CLDN18	54
CLDN19	0
CLDN20	0
CLDN22	2
CLDN23	11
CLDN24	3
CLDN25	0
CLDN34	0
CLDND1	2
CLDND2	0
CLEC1A	1
CLEC1B	5
CLEC2A	1
CLEC2B	3
CLEC2D	12
CLEC2L	0
CLEC3A	3
CLEC3B	15
CLEC4A	3
CLEC4C	3
CLEC4D	4
CLEC4E	3
CLEC4F	1
CLEC4G	2
CLEC4M	6
CLEC5A	6
CLEC6A	1
CLEC7A	3
CLEC9A	26
CLEC10A	11
CLEC11A	6
CLEC12A	5
CLEC12B	1
CLEC14A	12
CLEC16A	0
CLEC17A	3
CLEC18A	0
CLEC18B	2
CLEC18C	0
CLEC19A	0
CLEC20A	0
CLECL1	1
CLGN	6
CLHC1	1
CLIC1	68
CLIC2	4
CLIC3	17
CLIC4	39
CLIC5	11
CLIC6	4
CLINT1	3
CLIP1	9
CLIP2	6
CLIP3	0
CLIP4	15
CLK1	32
CLK2	19
CLK3	11
CLK4	9
CLMN	4
CLMP	4
CLN3	16
CLN5	1
CLN6	0
CLN8	0
CLNK	0
CLNS1A	3
CLOCK	600
CLP1	2
CLPB	6
CLPP	32
CLPS	25
CLPSL1	1
CLPSL2	1
CLPTM1	12
CLPTM1L	122
CLPX	4
CLRN1	1
CLRN2	0
CLRN3	1
CLSPN	15
CLSTN1	8
CLSTN2	3
CLSTN3	1
CLTA	14
CLTB	13
CLTC	16
CLTCL1	4
CLTRN	0
CLU	191
CLUAP1	4
CLUH	0
CLUL1	0
CLVS1	0
CLVS2	0
CLYBL	0
CMA1	7
CMAS	24
CMBL	5
CMC1	1
CMC2	4
CMC4	0
CMIP	6
CMKLR1	24
CMKLR2	0
CMPK1	9
CMPK2	3
CMSS1	0
CMTM1	8
CMTM2	4
CMTM3	19
CMTM4	11
CMTM5	13
CMTM6	38
CMTM7	8
CMTM8	9
CMTR1	1
CMTR2	0
CMYA5	2
CNBD1	2
CNBD2	0
CNBP	7
CNDP1	4
CNDP2	4
CNEP1R1	0
CNFN	2
CNGA1	0
CNGA2	1
CNGA3	2
CNGA4	1
CNGB1	1
CNGB3	0
CNIH1	0
CNIH2	0
CNIH3	0
CNIH4	2
CNKSR1	4
CNKSR2	5
CNKSR3	2
CNMD	1
CNN1	19
CNN2	10
CNN3	11
CNNM1	4
CNNM2	3
CNNM3	8
CNNM4	5
CNOT1	12
CNOT2	9
CNOT3	9
CNOT4	5
CNOT6	8
CNOT6L	3
CNOT7	10
CNOT8	4
CNOT9	0
CNOT10	1
CNOT11	1
CNP	117
CNPPD1	1
CNPY1	1
CNPY2	12
CNPY3	1
CNPY4	1
CNR1	23
CNR2	13
CNRIP1	9
CNST	20
CNTD1	1
CNTF	32
CNTFR	10
CNTLN	1
CNTN1	28
CNTN2	3
CNTN3	4
CNTN4	8
CNTN5	0
CNTN6	9
CNTNAP1	5
CNTNAP2	11
CNTNAP3	0
CNTNAP3B	2
CNTNAP3C	0
CNTNAP4	5
CNTNAP5	2
CNTRL	4
CNTROB	0
COA1	2
COA3	2
COA4	0
COA5	0
COA6	1
COA7	0
COA8	0
COASY	4
COBL	6
COBLL1	5
COCH	11
COG1	0
COG2	0
COG3	2
COG4	0
COG5	0
COG6	0
COG7	0
COG8	0
COIL	600
COL1A1	310
COL1A2	159
COL2A1	28
COL3A1	96
COL4A1	76
COL4A2	43
COL4A3	14
COL4A4	3
COL4A5	13
COL4A6	13
COL5A1	59
COL5A2	64
COL5A3	7
COL6A1	46
COL6A2	19
COL6A3	67
COL6A5	7
COL6A6	8
COL7A1	24
COL8A1	21
COL8A2	3
COL9A1	3
COL9A2	6
COL9A3	7
COL10A1	43
COL11A1	121
COL11A2	3
COL12A1	34
COL13A1	5
COL14A1	8
COL15A1	8
COL16A1	5
COL17A1	19
COL18A1	28
COL19A1	2
COL20A1	2
COL21A1	6
COL22A1	6
COL23A1	1
COL24A1	6
COL25A1	2
COL26A1	0
COL27A1	4
COL28A1	1
COLCA2	5
COLEC10	2
COLEC11	1
COLEC12	4
COLGALT1	0
COLGALT2	2
COLQ	2
COMMD1	21
COMMD2	0
COMMD3	3
COMMD4	4
COMMD5	3
COMMD6	2
COMMD7	5
COMMD8	5
COMMD9	1
COMMD10	3
COMP	132
COMT	407
COMTD1	0
COP1	60
COPA	25
COPB1	7
COPB2	17
COPE	600
COPG1	5
COPG2	2
COPRS	0
COPS2	6
COPS3	8
COPS4	2
COPS5	25
COPS6	5
COPS7A	2
COPS7B	1
COPS8	4
COPS9	0
COPZ1	6
COPZ2	2
COQ2	3
COQ3	1
COQ4	1
COQ5	0
COQ6	1
COQ7	3
COQ8A	0
COQ8B	0
COQ9	3
COQ10A	0
COQ10B	0
CORIN	4
CORO1A	4
CORO1B	4
CORO1C	17
CORO2A	4
CORO2B	2
CORO6	2
CORO7	1
CORT	23
COTL1	7
COX4I1	7
COX4I2	2
COX5A	5
COX5B	20
COX6A1	2
COX6A2	0
COX6B1	5
COX6B2	3
COX6C	13
COX7A1	11
COX7A2	4
COX7A2L	3
COX7B	3
COX7B2	2
COX7C	5
COX8A	2
COX8C	1
COX10	7
COX11	16
COX14	0
COX15	1
COX16	3
COX17	7
COX18	1
COX19	1
COX20	0
CP	600
CPA1	13
CPA2	6
CPA3	7
CPA4	27
CPA5	0
CPA6	3
CPAMD8	0
CPB1	7
CPB2	5
CPD	327
CPE	221
CPEB1	24
CPEB2	13
CPEB3	23
CPEB4	28
CPED1	3
CPHXL	0
CPLANE1	1
CPLANE2	0
